,countryname,year,exchange rate (to $USD)
1721,United Kingdom,2017,0.7769767
1722,Indonesia,2017,13380.834
1723,India,2017,65.121567
1724,"Iran, Islamic Rep",2017,33226.297
1725,Italy,2017,0.88520551
1726,Japan,2017,112.16614
1727,"Korea, Rep",2017,1131.0009
1728,Mexico,2017,18.926517
1729,Malaysia,2017,4.3004408
1730,Netherlands,2017,0.88520551
1731,Philippines,2017,50.403721
1732,Russian Federation,2017,58.3428
1733,Saudi Arabia,2017,3.75
1734,Singapore,2017,1.3809251
1735,Thailand,2017,33.939812
1736,Turkey,2017,3.6481326
1737,United States,2017,1.0
1738,Vietnam,2017,22370.086
1739,South Africa,2017,13.323801
1740,United Arab Emirates,2018,3.6724999
1741,Argentina,2018,28.094992
1742,Australia,2018,1.3384122
1743,Brazil,2018,3.6538253
1744,Canada,2018,1.295818
1745,Switzerland,2018,0.97789168
1746,China,2018,6.6159573
1747,Germany,2018,0.84677267
1748,"Egypt, Arab Rep",2018,17.76729
1749,Spain,2018,0.84677267
1750,France,2018,0.84677267
1751,United Kingdom,2018,0.74953157
1752,Indonesia,2018,14236.938
1753,India,2018,68.389465
1754,"Iran, Islamic Rep",2018,40864.328
1755,Italy,2018,0.84677267
1756,Japan,2018,110.42318
1757,"Korea, Rep",2018,1100.1633
1758,Mexico,2018,19.244341
1759,Malaysia,2018,4.03513
1760,Netherlands,2018,0.84677267
1761,Philippines,2018,52.66143
1762,Russian Federation,2018,62.668133
1763,Saudi Arabia,2018,3.75
1764,Singapore,2018,1.3488417
1765,Thailand,2018,32.310226
1766,Turkey,2018,4.8283701
1767,United States,2018,1.0
